track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
L.A. Song,Beth Hart,0.351,0.615,7,-7.621,1,0.0451,0.206,0,0.985,0.337,127.798,271107,3,58.57055,10,1
Chicks Dig It,Chris Cagle,0.596,0.921,7,-4.987,1,0.0504,0.0221,0,0.303,0.703,104.024,210560,4,29.07478,11,1
Nin-com-pop - Two Lone Swordsmen - Sampler Version,Lali Puna,0.726,0.294,4,-14.451,0,0.0472,0.595,0.717,0.0385,0.185,125.712,206733,4,29.71117,12,0
I Wanna Be Your Dog,Sky Saxon,0.598,0.782,4,-6.018,1,0.0305,0.407,6.55e-05,0.558,0.298,118.938,205053,4,21.29442,10,0
What's Left Of Me,Nick Lachey,0.421,0.728,7,-5.644,1,0.035,0.136,0,0.136,0.311,150.12,244667,4,29.22179,11,1
I Learned From The Best,Whitney Houston,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.949,259533,4,41.68325,14,1
Broken,Seether Featuring Amy Lee,0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333,4,48.88537,12,1
I'd Do Anything,Simple Plan,0.395,0.917,8,-6.86,1,0.133,0.00143,0,0.261,0.563,169.088,197640,4,30.63383,6,1
Sleepy Silver Door,Dead Meadow,0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,452747,4,43.87393,15,0
People Make The World Go Round (Boris Main Mix),Joi Cardwell,0.792,0.637,4,-9.826,0,0.0743,0.000443,0.448,0.0698,0.366,127.989,481350,4,57.90045,18,0
God Is Dead,Heart Attack,0.343,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,82187,4,14.98454,3,0
Meet Me Halfway,The Black Eyed Peas,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130,284373,4,30.48537,14,1
Deathmask Divine,The Black Dahlia Murder,0.471,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.996,217253,4,18.99449,12,0
Step Daddy,Hitman Sammy Sam,0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.997,230493,4,31.99187,10,1
Rock and Roll Marionett,Stein Ingebrigtsen,0.682,0.579,7,-7.924,1,0.0712,0.196,0,0.136,0.784,100.186,222589,4,43.76046,8,0
I Miss You,Blink-182,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110,227240,4,30.64844,10,1
Gråt inga tårar mer,Titanix,0.59,0.836,7,-2.805,1,0.0385,0.00334,0,0.0358,0.939,138.84,143000,4,45.10531,6,0
The Saints Are Coming,U2 & Green Day,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.118,152.116,201907,4,33.25761,11,1
Good Luck,Basement Jaxx,0.577,0.936,5,-4.179,1,0.0915,0.0839,0,0.344,0.572,153.985,211547,4,25.54091,12,0
Beautiful,Christina Aguilera,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11,1
The Orange Fox Waits,Robin Spielberg,0.441,0.0712,2,-21.625,1,0.0456,0.995,0.934,0.0917,0.157,94.35,185533,4,58.47325,7,0
You Rock My World,Java Gospel,0.662,0.854,1,-5.518,1,0.0434,0.133,0,0.333,0.915,121.961,245947,4,40.45327,11,0
Shadow Of The Day,Linkin Park,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4,58.45602,9,1
99.9% Sure (I've Never Been Here Before),Brian McComas,0.606,0.959,7,-3.412,1,0.0522,0.0714,0,0.236,0.734,116.014,193293,4,59.85298,8,1
Some People Change,Montgomery Gentry,0.55,0.61,2,-6.358,1,0.0388,0.0456,0,0.11,0.357,168.186,201867,4,24.3249,11,1
Right Where You Want Me,Jesse McCartney,0.72,0.548,4,-4.805,0,0.0291,0.00269,0.000118,0.0511,0.709,99.004,211693,4,28.30516,8,1
Baby It's You,JoJo Featuring Bow Wow,0.858,0.607,1,-4.199,1,0.118,0.0169,3.97e-05,0.0777,0.821,119.986,188293,3,66.31259,9,1
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,0.565,0.562,0,-7.43,1,0.0339,0.263,0,0.0994,0.652,75.035,229093,4,25.98469,9,1
Ever The Same,Rob Thomas,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,4,41.42314,10,1
Bombay Jazz,Carlo Fashion,0.65,0.72,11,-8.803,1,0.161,0.0238,0.14,0.367,0.738,154.664,170213,4,59.91442,4,0
Punk Fact Or Faction,Extreme Noise Terror,0.173,0.997,4,-3.692,1,0.195,1.03e-05,0.631,0.324,0.0329,121.013,96013,4,28.09894,6,0
Fun in America,Jayne County,0.359,0.979,2,-6.998,1,0.196,0.0105,0,0.0763,0.256,172.611,187907,4,20.91098,10,0
Sinking,Incendiary,0.209,0.923,7,-3.286,1,0.0598,5.66e-05,0.0505,0.326,0.42,93.347,170813,4,105.99946,5,0
Suffocate,J. Holiday,0.458,0.445,9,-8.391,0,0.361,0.64,0,0.118,0.447,82.82,220053,5,33.16176,7,1
Echoes of Fashion,Djako,0.71,0.787,7,-7.962,0,0.0365,0.00649,0.815,0.0609,0.422,128.05,288750,4,31.40298,11,0
I Touch Myself,Jan Wayne,0.636,0.993,5,-5.203,0,0.0508,0.00878,0.268,0.26,0.478,141.97,223947,4,56.28675,11,0
Baby Please,Allison,0.628,0.541,1,-5.568,1,0.0246,0.292,0,0.0933,0.443,102.513,157960,4,49.69981,7,0
If Nobody Believed In You,Joe Nichols,0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.968,235067,4,42.55397,9,1
Are You Gonna Be My Girl,Jet,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4,20.87996,7,1
The Worms Will Get In,Jazkamer,0.0775,0.00796,1,-10.458,1,0.0413,0.841,0.923,0.102,0.029,72.592,1011760,4,12.57441,57,0
Prelude and Fugue in c-minor op. 37: Fugue,Felix Mendelssohn,0.106,0.0424,0,-19.749,0,0.0365,0.887,0.899,0.134,0.0377,63.533,256240,4,23.27108,12,0
One Thing,Finger Eleven,0.588,0.555,1,-9.401,1,0.0334,0.447,0,0.0806,0.445,151.991,279573,4,25.8805,13,1
คนไร้ค่า,Stone Metal Fire,0.473,0.464,10,-8.112,0,0.0287,0.00267,0.000663,0.107,0.25,128.955,272400,3,47.53233,12,0
You Know What It Is,T.I. Featuring Wyclef Jean,0.657,0.853,1,-4.757,0,0.252,0.17,0,0.0956,0.746,173.066,287133,4,24.82765,14,1
AM To PM,Christina Milian,0.872,0.86,0,-3.488,0,0.131,0.158,1.41e-05,0.833,0.855,104.956,233587,4,54.45268,9,1
The Fear,Lily Allen,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,207120,4,22.45476,8,1
Fallout (Of Our Being),Nausea,0.308,0.935,2,-7.309,0,0.124,0.00254,0.203,0.303,0.171,89.547,115853,4,71.55419,4,0
Come A Little Closer,Dierks Bentley,0.585,0.577,5,-5.752,1,0.0228,0.0587,0.00369,0.102,0.335,80.02,282720,4,22.54452,11,1
Encarnar no Seu Corpo,Sarcasmo,0.191,0.996,2,-4.596,1,0.159,5.12e-05,0.132,0.315,0.0752,110.512,318360,4,29.58095,12,0
Soul Sista,Bilal,0.598,0.412,11,-9.838,1,0.14,0.815,0.000352,0.114,0.431,146.039,339847,4,28.83319,18,1
Blue Aphrodite,Jens Buchert,0.569,0.463,1,-12.441,1,0.0284,0.237,0.733,0.148,0.218,109.039,190000,4,23.13921,13,0
Il trattamento,Cor Veleno,0.803,0.821,1,-4.342,0,0.252,0.0449,0,0.115,0.763,100.031,229973,4,49.96968,7,0
With Me - Massive Power Mix,Crush 40,0.447,0.874,8,-5.82,1,0.0457,6.52e-05,0.00078,0.0573,0.64,87.474,235000,4,33.77383,11,0
I Wanna Be With You,Mandy Moore,0.515,0.908,8,-4.632,1,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,252600,4,36.74395,13,1
Sunday School,Pretty Lights,0.729,0.746,9,-4.84,0,0.0599,0.0464,0.114,0.105,0.562,94.977,391361,4,34.23814,16,0
One More Time,Daft Punk,0.611,0.697,2,-8.618,1,0.133,0.0193,0,0.332,0.476,122.752,320357,4,58.19603,14,1
Substream,Kyoto Jazz Massive,0.771,0.903,0,-5.688,1,0.0551,0.00438,0.481,0.333,0.879,123.014,394880,4,32.53368,12,0
I'm Like A Bird,Nelly Furtado,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,243160,4,44.45434,8,1
Girls Lie Too,Terri Clark,0.499,0.883,4,-4.742,1,0.0451,0.0689,0,0.163,0.533,138.801,214200,4,77.12452,5,1
Charity,Synapscape,0.645,0.984,0,-5.013,1,0.315,0.017,0.946,0.34,0.0466,132.894,249013,4,16.59496,11,0
Om Namo Narayana Karna Ranjani K.Chappu Ambujam Krishna,Sudha Ragunathan,0.522,0.328,1,-13.715,1,0.0394,0.944,0.0885,0.106,0.727,155.673,382200,5,166.1522,9,0
Airport Sadness - 2008 Remaster,Brad Mehldau,0.444,0.0162,5,-27.773,1,0.0452,0.993,0.922,0.0873,0.079,100.364,284213,4,29.45978,15,0
Notorious Thugs,Scary Kids Scaring Kids,0.664,0.761,4,-5.809,0,0.07,0.015,0,0.618,0.345,129.939,443080,4,24.17369,19,0
Runaway,NB Ridaz Featuring Angelina,0.718,0.671,11,-7.517,0,0.113,0.377,0,0.114,0.552,170.012,240133,4,38.89064,13,1
Mouth Of Ghosts,The Dillinger Escape Plan,0.279,0.901,1,-7.052,1,0.0557,0.000529,0.118,0.37,0.268,119.95,409827,4,47.32667,13,0
Closet Punk,D.R.I.,0.455,0.988,3,-3.075,0,0.122,0.0128,0.983,0.359,0.484,98.85,31560,4,9.53802,3,0
The Sniper At The Gates Of Heaven,The Black Angels,0.311,0.709,4,-7.235,1,0.0331,0.000104,0.215,0.156,0.343,108.284,256627,4,29.34654,12,0
Rock de la Carcel,Enrique Guzman,0.592,0.418,2,-10.741,1,0.0585,0.679,0.00246,0.16,0.643,90.732,139627,4,30.69739,8,0
Full Metal Swimsuit,Agoraphobic Nosebleed,0.298,0.943,10,-4.019,0,0.18,8.53e-05,0.00382,0.52,0.199,102.7,34560,4,0,2,0
"Tricky, Tricky",Lou Bega,0.858,0.947,0,-3.557,1,0.235,0.125,0,0.0367,0.967,151.037,203133,4,21.8709,8,1
Hall of the Mountain King,Apocalyptica,0.233,0.609,7,-5.852,1,0.0438,0.000849,0.826,0.0874,0.28,96.808,209347,4,29.07217,11,0
If - Original Mix,Phaeleh,0.712,0.496,10,-13.591,0,0.0602,0.0338,0.801,0.108,0.15,137.002,312000,4,28.90139,10,0
The Sprig of Thyme: No. 1. The bold grenadier,John Rutter,0.19,0.0237,5,-29.269,0,0.0397,0.991,0.0387,0.104,0.14,103.604,182400,3,20.01717,10,0
Number One,R. Kelly Featuring Keri Hilson,0.65,0.813,0,-4.673,1,0.112,0.228,0,0.18,0.576,136.796,260867,4,48.46709,10,1
Wednesday Night Prayer Meeting - Alternative Take,Charles Mingus,0.377,0.453,5,-14.669,0,0.0636,0.459,0.00268,0.0921,0.607,126.93,341333,3,35.14482,15,0
Not Nineteen Forever,Courteeners,0.402,0.92,2,-2.944,1,0.0408,0.000174,0,0.0807,0.297,139.793,243973,4,150.0781,6,0
Taxidermist,False Prophets,0.137,0.853,11,-8.79,0,0.0972,0.000129,0.00229,0.0473,0.252,187.209,274493,4,106.25521,8,0
Get No Better,Cassidy Featuring Mashonda,0.717,0.597,2,-7.83,1,0.189,0.292,0,0.128,0.566,95.018,234853,4,30.24518,12,1
In A Red Dress And Alone,Evans Blue,0.347,0.882,0,-4.444,1,0.0799,0.000163,0.142,0.296,0.455,178.321,189533,4,25.29914,8,0
Message Horn's Enchanting Echo,Daemonia Nymphe,0.252,0.111,0,-15.312,0,0.0368,0.981,0.516,0.116,0.23,95.929,137520,4,57.71955,7,0
No More Drama,Mary J. Blige,0.623,0.828,6,-6.265,0,0.212,0.509,7.77e-06,0.0946,0.592,97.926,248320,4,40.53372,8,1
Peligroso Pop,Plastilina Mosh,0.713,0.907,6,-4.132,0,0.0336,0.000468,0.00524,0.0846,0.739,135.055,216600,4,28.53523,9,0
Broken,Lifehouse,0.534,0.708,11,-5.732,1,0.0402,0.089,0,0.192,0.488,130.639,286480,4,45.46272,12,1
Boy From School,Hot Chip,0.631,0.863,8,-3.963,0,0.0297,0.161,5.85e-05,0.0846,0.497,125.994,319653,4,77.17961,13,0
All Hail Shadow,Crush 40,0.308,0.934,7,-6.939,1,0.0824,2.35e-06,3.69e-06,0.0896,0.419,170.009,241693,4,21.19217,9,0
I Get Money,50 Cent,0.525,0.933,9,-4.673,1,0.356,0.159,0.000241,0.311,0.457,122.631,223720,5,25.31908,9,1
Mr. Carter,Lil Wayne Featuring Jay-Z,0.486,0.71,7,-6.287,1,0.363,0.0445,0,0.35,0.472,170.86,316267,4,20.01532,15,1
What Kinda Gone,Chris Cagle,0.494,0.861,5,-5.236,1,0.0365,0.257,0,0.103,0.668,172.052,181613,4,56.41995,7,1
La valse d'Amélie - Version piano,Yann Tiersen,0.194,0.179,9,-16.836,0,0.0413,0.988,0.86,0.0819,0.179,177.667,158667,3,30.35531,7,0
Tattoos Fade,World / Inferno Friendship Society,0.293,0.877,9,-6.469,1,0.0707,0.0813,0.0437,0.0917,0.584,69.219,312893,4,57.28589,14,0
Why I Love You,B2K,0.698,0.618,0,-5.83,1,0.0282,0.0482,0,0.116,0.37,89.981,240640,4,26.48417,9,1
Kingdom Business,Canton Jones,0.648,0.776,11,-5.698,0,0.252,0.00362,0,0.179,0.446,91.218,246960,4,35.9768,12,0
I Look To You,Whitney Houston,0.55,0.373,4,-6.31,1,0.0286,0.717,0,0.096,0.101,101.84,265613,4,73.7704,11,1
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,0.586,0.927,11,-4.077,0,0.194,0.00924,1.85e-06,0.344,0.528,73.023,316133,4,27.20698,16,1
My Band,D12,0.848,0.854,6,-3.305,0,0.0845,0.47,2.29e-06,0.106,0.876,120.024,298773,4,33.02932,15,1
Aaj Mausam Bada Be-Iman Hai,Mohammed Rafi,0.336,0.449,0,-13.267,1,0.0367,0.9,7e-05,0.109,0.547,139.13,379867,4,46.31308,16,0
And Here We Test Our Powers Of Observation,The Bad Plus,0.367,0.833,8,-8.8,1,0.0322,0.197,0.803,0.136,0.491,93.08,261400,4,16.78397,15,0
All The Right Moves,OneRepublic,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,238000,4,25.16272,11,1
Girls Around The World,Lloyd Featuring Lil Wayne,0.727,0.83,7,-8.699,1,0.125,0.0286,0.000368,0.145,0.59,97.602,229800,4,47.60881,8,1
Jazz,Pretty Balanced,0.374,0.344,6,-9.012,0,0.0341,0.459,0.397,0.0915,0.0386,152.11,318880,4,26.48821,15,0
Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger,0.613,0.778,10,-3.933,0,0.0689,0.0985,0,0.356,0.626,129.483,252093,4,91.30839,8,1
Walking with a Ghost,Tegan and Sara,0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,150293,4,29.23319,6,0
G'd Up,Snoop Dogg Presents Tha Eastsidaz,0.908,0.763,1,-5.739,1,0.28,0.0395,0,0.0646,0.593,97.106,273467,4,23.51463,11,1
Whore to a Chainsaw,Thy Art Is Murder,0.295,0.967,1,-6.328,0,0.169,7.73e-05,0.784,0.217,0.254,149.99,200747,1,28.35758,9,0
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,0.646,0.6,9,-6.569,1,0.458,0.231,0,0.0794,0.811,192.082,223973,4,26.98133,14,1
The Ravenous Beast,Destruction,0.419,0.988,3,-2.241,0,0.111,0.000304,0.589,0.289,0.378,97.036,189133,4,25.31017,10,0
Bad Habits,Maxwell,0.661,0.67,11,-7.645,0,0.258,0.0873,2.01e-06,0.0794,0.661,148.02,352280,4,67.8362,14,1
